noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
adf1bb6f-f3e3-4493-ae31-bb9f764e328b,1,Stephan Huber Landschaftsarchitektur,DE166204185,München,80469,DE212,DEU,,,winner,,,,medium,DEU,
728f6d3e-5c35-4e7e-98fe-ba9ffe76c0d1,1,LETA Bau GmbH,DE338351076,Markkleeberg,4416,DED52,DEU,,,winner,,,,medium,DEU,
728f6d3e-5c35-4e7e-98fe-ba9ffe76c0d1,1,Base Bau GmbH,DE300007182,Haar b. München,85540,DE21H,DEU,,,winner,,,,medium,DEU,
7f38e24a-3885-4557-8f02-2ec387d19d7b,1,"Rainer Tormählen
Dachdecker GmbH & Co.KG",DE258185876,Holthusen,19075,DE80O,DEU,https://dachdecker-thormaehlen.de,,winner,,,,medium,,FALSE
69189c76-4d25-4dde-afa0-b3b6089231c9,1,DB Regio AG,UStID. DE 199 861 724,Frankfurt am Main,60468,DE712,DEU,https://www.dbregio.de/,,winner,,,,large,,
39362296-c09a-4e95-8bf9-9577cb723e0a,1,Notarzt-Börse Dr. André Kröncke e.K.,DE 247629271,Pogeez,23911,DEF06,DEU,,,winner,,,,micro,DEU,
ac7a6382-0e66-459e-851c-491f3db6454f,1,michael bendich fahrzeugbau,DE135831988,Berlin,12347,DE300,DEU,,,winner,,,,small,DEU,
65d87008-2ac2-44a3-b164-3d8414f28700,1,Resch GmbH Zimmerei-Holzbau-Dachdeckerei,DE 812 389 739,Bischofswiesen,83483,DE215,DEU,,,winner,,,,small,DEU,
6e42ddc3-53e2-4aa0-b86c-b28ef1af69fe,1,BodenSprick GmbH,DE 169356257,Kiel,24148,DEF02,DEU,,,winner,,,,medium,DEU,
f46e12f2-d3b0-4eaf-ba81-ffc87776cb6a,1,Rudolf Höglmeier GmbH,DE129453408,Unterföhring,85774,DE21H,DEU,,,winner,,,,medium,DEU,
89fc04c9-eced-405a-9e4d-bf8f6a62afab,1,IBB Deutschland GmbH,DE227342739,Mertingen,86690,DE27D,DEU,,,winner,,,,medium,DEU,
fc8ee2f4-1ee4-4e65-bda6-d19bc3efc02b,1,Boller GmbH,DE813570996,Neunkirchen,57290,DEA5A,DEU,,,winner,,,,medium,DEU,
b3f28bad-2a8c-44f7-bef3-4d72fa78797b,1,Umtec Prof. Biener I Sasse I Konertz Partnerschaft Beratender Ingenieure und Geologen mbB,DE 114522907,Bremen,28357,DE501,DEU,,,winner,,,,medium,DEU,
2823194d-f257-431f-bc70-66ae7b0c1795,1,Faber & Schnepp Hoch- und Tiefbau GmbH & Co.KG,DE112645234,Gießen,35390,DE721,DEU,,,winner,,,,medium,,
8ea03fa9-59d5-45e3-9eae-a7f35cb6c10b,1,PMS AG - Büro für Planung und Steuerung,DE301877144,Berlin,10557,DE300,DEU,,,winner,,,,medium,DEU,
9a659b20-5123-4d0a-b4de-8dbabafa8a9d,1,IVECO Magirus AG,DE147032117,Unterschleißheim,85716,DE21H,DEU,,,winner,,,,large,,
f6424049-cb1b-4a9a-8698-ae24eef43521,1,Sportbodenbau Kupries GmbH,DE 322 42 0977,Rattelsdorf,96179,DE245,DEU,,,winner,,,,micro,,
1ba012e8-0b1f-4edb-9a77-d521692d1af6,1,Wilms GmbH,DE 134182276,Wiesentheid,97353,DE268,DEU,,,winner,,,,small,,
ef84ec0e-8a53-4f9b-8ca2-ed0848f60fc4,1,Binas Bau GmbH,UStID.: DE 185379701,Freyburg (Unstrut),6632,DEE08,DEU,,,winner,,,,medium,DEU,FALSE
c201cd55-2e20-407c-820e-f2e80bbed789,1,P&I Personal & Informatik AG,DE 812576084,Wiesbaden,65205,DE714,DEU,,FALSE,winner,,,,large,DEU,FALSE
89ad86fd-e449-46d2-8321-35facdf27599,1,Bautec Bauplanung und Beratung GmbH,DE811292183,Burbach,57299,DEA5A,DEU,,,winner,,,,micro,DEU,
89ad86fd-e449-46d2-8321-35facdf27599,1,MZP-Ingenieure,DE255267354,Siegen,57072,DEA5A,DEU,,,winner,,,,micro,DEU,
92a17502-02ad-4f32-8213-a5a350cf08b7,1,Vodafone GmbH,DE813113094,Düsseldorf,40549,DEA11,DEU,,FALSE,winner,,,,large,DEU,FALSE
92a17502-02ad-4f32-8213-a5a350cf08b7,1,Telekom Deutschland GmbH,DE122265872,Bonn,53227,DEA22,DEU,,FALSE,winner,,,,large,DEU,FALSE
a9425f4a-ff92-439b-b276-1d2c6c406d1c,1,Premium Fliesen Design GmbH,DE362329754,München,81379,DE212,DEU,,,winner,,,,medium,DEU,
418758d7-9a91-498a-addc-19002c67e4aa,1,Mirion Technologies (Canberra) GmbH,DE 149 054 248 / HRB 83945,Rüsselsheim am Main,65428,DE717,DEU,https://www.mirion.com/de/mirion-germany,,winner,,,,small,,TRUE
4c12f2a4-fcc7-4a1b-8bc7-030f0e46c53e,1,Omexom Frankenluk GmbH,DE132270625,Buttenheim,96155,DE245,DEU,,,winner,,,,medium,DEU,
6482f52b-f961-46bf-9d9e-386284b0349b,1,Sellhorn Ingenieurgesellschaft mbH,DE118573659,Hamburg,20459,DE600,DEU,,,winner,,,,small,DEU,
f214c400-6264-43a6-989b-5aae40336726,1,F.X. Rauch GmbH & Co. KG,UStID. DE130487158,Leipzig,4129,DED51,DEU,,FALSE,winner,,,,medium,,
582d0204-4eb2-4724-a8f9-d78ac6c65710,1,Thomas Elektro GmbH,DE200403347,Schwerin,19057,DE804,DEU,,,winner,,,,,,
6c785421-76d1-491a-8fba-5a8e5482f6c8,1,Lindner SE,DE129256988,Arnstorf,94424,DE22A,DEU,,,winner,,,,medium,DEU,
d93068c7-5a2e-4e8f-80f4-b68d25aa0f8c,1,scaleoplan GmbH,DE 321 55 1364,Öhringen,74613,DE119,DEU,,,winner,,,,small,DEU,
7339807a-8aaa-45f9-8b97-38090c96302c,1,Hohenloher Schuleinrichtungen GmbH & Co. KG,DE146281179,Öhringen,74603,DE119,DEU,,,winner,,,,medium,DEU,
3f46e951-aaaf-4dca-9d13-f5373625e4a0,1,Heinrich Schmid GmbH & Co. KG,DE813902754,Gersthofen,86368,DE276,DEU,www.heinrich-schmid.com,FALSE,winner,,,,medium,DEU,FALSE
